anio,region_name,agregados,industry_gdp,prop_industry_gdp
1983,Asia,China,84051650033.6548,0.020604057817338477
1983,Asia,Corea del Sur,34120186945.5024,0.008364074997719113
1983,Asia,India,37901568332.0805,0.0092910264696684
1983,Asia,Indonesia,20642853591.5868,0.0050602998126224085
1983,Asia,Japón,485090846519.806,0.11891307124076389
1983,Asia,Otros,156676832389.5404,0.0384070807878127
1983,Asia,Tailandia,16507101477.2758,0.0040464794337562735
1983,Asia,Vietnam,3005127339.7173,7.3666391357228e-4
1984,Asia,China,96483340781.9541,0.02240287768425801
1984,Asia,Corea del Sur,40982570886.9958,0.009515917621910572
1984,Asia,India,40360317842.8874,0.009371434038290456
1984,Asia,Indonesia,25196546941.469,0.0058504935113209994
1984,Asia,Japón,510449381167.637,0.11852341510590217
1984,Asia,Otros,167178266558.01514,0.03881783349137509
1984,Asia,Tailandia,17529787972.842,0.004070316104352897
1984,Asia,Vietnam,3219157047.51222,7.4746978076574e-4
1985,Asia,China,113880644368.902,0.025303176487100378
1985,Asia,Corea del Sur,43981969450.9943,0.009772367740243197
1985,Asia,India,41975948855.9137,0.009326649388056357
1985,Asia,Indonesia,28016791288.2581,0.006225059741255186
1985,Asia,Japón,561744556696.975,0.12481420119759169
1985,Asia,Otros,170384218872.6129,0.037857723624961884
1985,Asia,Tailandia,17289785505.2078,0.0038416229244822376
1985,Asia,Vietnam,3500454189.37108,7.777670264294124e-4
1986,Asia,China,124853730492.5,0.027144158056060394
1986,Asia,Corea del Sur,51251851293.717,0.011142545334405741
1986,Asia,India,44917864796.5094,0.009765488117717424
1986,Asia,Indonesia,30618007782.6709,0.00665658958956321
1986,Asia,Japón,559400367683.51,0.12161792793152969
1986,Asia,Otros,174647719090.82748,0.03796975286546709
1986,Asia,Tailandia,18991339808.1589,0.004128862849476359
1986,Asia,Vietnam,3535926177.39025,7.687374550607275e-4
1987,Asia,China,141251554397.079,0.02930392035989651
1987,Asia,Corea del Sur,61667957246.4257,0.012793578914018177
1987,Asia,India,48203119632.7678,0.010000175819986601
1987,Asia,Indonesia,33865877936.4806,0.007025784560068006
1987,Asia,Japón,579285951558.716,0.1201781421984445
1987,Asia,Otros,192197382366.53433,0.039873095983189895
1987,Asia,Tailandia,22036766069.0688,0.004571727657327754
1987,Asia,Vietnam,3475082651.55491,7.209375195897237e-4
1988,Asia,China,162576142106.781,0.031851250578779175
1988,Asia,Corea del Sur,70070342942.0697,0.013727894033326086
1988,Asia,India,52421480983.8224,0.010270201426170958
1988,Asia,Indonesia,37927280113.4025,0.007430557073190288
1988,Asia,Japón,625750445988.216,0.12259445941251779
1988,Asia,Otros,199951355071.99335,0.039173648921878745
1988,Asia,Tailandia,25988488590.744,0.0050915580326899934
1988,Asia,Vietnam,4234922825.35495,8.296887005940698e-4
1989,Asia,China,170776819924.336,0.032496673818179986
1989,Asia,Corea del Sur,73209111752.5283,0.013930770148985425
1989,Asia,India,58540666140.2473,0.011139550048428428
1989,Asia,Indonesia,42206693325.9406,0.008031401138425775
1989,Asia,Japón,666024756746.388,0.12673610671758262
1989,Asia,Otros,204258113559.78705,0.038867741500339774
1989,Asia,Tailandia,30177634295.0623,0.0057424229981882565
1989,Asia,Vietnam,3711930072.95017,7.063334524556596e-4
1990,Asia,China,176512468589.501,0.031348460139190674
1990,Asia,Corea del Sur,81591850541.1823,0.014490641340025954
1990,Asia,India,62109729337.8354,0.011030633642834142
1990,Asia,Indonesia,47248731092.6478,0.008391333343877493
1990,Asia,Japón,715811773815.576,0.1271275453679518
1990,Asia,Otros,247277383446.9527,0.04391624716516621
1990,Asia,Tailandia,34884829388.0703,0.006195515207923593
1990,Asia,Vietnam,3494822157.24605,6.206773604462787e-4
1991,Asia,China,201757021246.714,0.037869292745619045
1991,Asia,Corea del Sur,93361926597.4804,0.01752380218427003
1991,Asia,India,59807420533.5011,0.01122570457547528
1991,Asia,Indonesia,52242832458.8074,0.009805850145971703
1991,Asia,Japón,751757911200.105,0.14110309637382956
1991,Asia,Otros,247379501469.33902,0.04643251918827719
1991,Asia,Tailandia,38108658295.0689,0.007152900693126347
1991,Asia,Vietnam,3854324738.31079,7.234471987633495e-4
1992,Asia,China,244206215866.781,0.04572288925374577
1992,Asia,Corea del Sur,99246613788.0046,0.018582008303644853
1992,Asia,India,62306318544.2132,0.011665652704596812
1992,Asia,Indonesia,57560286635.9345,0.01077705005143851
1992,Asia,Japón,736896134023.682,0.13796954433730868
1992,Asia,Otros,255947630830.68787,0.047921242044118025
1992,Asia,Tailandia,42018493115.8831,0.0078671499025023
1992,Asia,Vietnam,4308757096.28267,8.067314045851138e-4
1993,Asia,China,292944180060.174,0.0547186595802342
1993,Asia,Corea del Sur,106431943763.145,0.019880283329205876
1993,Asia,India,67518701375.4289,0.012611729767434486
1993,Asia,Indonesia,64109270521.6802,0.011974886645272778
1993,Asia,Japón,709925890018.891,0.13260612685720205
1993,Asia,Otros,261019356441.50058,0.04875546360415991
1993,Asia,Tailandia,45516984886.6744,0.008502057970979311
1993,Asia,Vietnam,4757036598.34389,8.885606335719875e-4
1994,Asia,China,347973470237.225,0.06216745496259422
1994,Asia,Corea del Sur,119101742908.296,0.02127820903464349
1994,Asia,India,75588039770.6379,0.013504236558460534
1994,Asia,Indonesia,72034464888.6066,0.012869370037503403
1994,Asia,Japón,699490119578.732,0.12496791918086445
1994,Asia,Otros,263058849741.55408,0.046996971299769055
1994,Asia,Tailandia,49302826684.1659,0.008808232579704825
1994,Asia,Vietnam,5240475277.03743,9.362409454540116e-4
1995,Asia,China,396650080581.119,0.06711164222701498
1995,Asia,Corea del Sur,135057750375.737,0.022851243115651627
1995,Asia,India,86850572150.0605,0.014694777111369791
1995,Asia,Indonesia,79868144309.0327,0.01351337763085923
1995,Asia,Japón,734122146862.287,0.12421059589593127
1995,Asia,Otros,279763388723.6041,0.047334871140650325
1995,Asia,Tailandia,54833245990.1116,0.00927757075365496
1995,Asia,Vietnam,5950451025.39503,0.0010067930396500085
1996,Asia,China,446195870459.571,0.07319606871312055
1996,Asia,Corea del Sur,146991667602.826,0.024113204344609687
1996,Asia,India,95237884874.6107,0.015623270466833922
1996,Asia,Indonesia,89126842182.1063,0.014620786287926901
1996,Asia,Japón,763714685442.844,0.1252833481746863
1996,Asia,Otros,301975103298.2202,0.04953741590638713
1996,Asia,Tailandia,58062614953.3063,0.00952486438166341
1996,Asia,Vietnam,6759039984.15666,0.001108784701672597
1997,Asia,China,496707983467.498,0.07744480117558894
1997,Asia,Corea del Sur,156061171042.067,0.024332458436060772
1997,Asia,India,96677646812.5719,0.015073607400581198
1997,Asia,Indonesia,93807178017.4081,0.014626054930072659
1997,Asia,Japón,781748619688.376,0.12188724247678405
1997,Asia,Otros,324137118715.6123,0.05053821470176039
1997,Asia,Tailandia,58606787545.3132,0.009137745234738629
1997,Asia,Vietnam,7625891438.48631,0.0011889997058580459
1998,Asia,China,540875085873.394,0.08269965405124441
1998,Asia,Corea del Sur,144637634849.685,0.022115055171276758
1998,Asia,India,99308063895.7937,0.015184176056878728
1998,Asia,Indonesia,83079011574.8148,0.01270275835512372
1998,Asia,Japón,749978361071.573,0.11467148816142081
1998,Asia,Otros,323387048733.2395,0.04944579211243603
1998,Asia,Tailandia,53741445219.6349,0.008217052409986651
1998,Asia,Vietnam,8403577654.66625,0.0012849047460033007
1999,Asia,China,587199798653.311,0.08649993799140963
1999,Asia,Corea del Sur,172922602709.763,0.025473091860746536
1999,Asia,India,103261490921.259,0.015211368570075117
1999,Asia,Indonesia,86336072099.3066,0.012718098507763821
1999,Asia,Japón,743153571534.611,0.10947336494880451
1999,Asia,Otros,335584185578.78455,0.049434641003003835
1999,Asia,Tailandia,59038406749.678,0.008696901011667217
1999,Asia,Vietnam,9074974182.98565,0.0013368272705511692
2000,Asia,China,645084599242.366,0.08906183684482985
2000,Asia,Corea del Sur,200446165214.574,0.027674050323754435
2000,Asia,India,110004586033.208,0.015187481618657725
2000,Asia,Indonesia,91503616078.3572,0.012633195917952368
2000,Asia,Japón,781661874391.03,0.10791800394335899
2000,Asia,Otros,366151346650.95703,0.050551681956509185
2000,Asia,Tailandia,60972835823.9102,0.008418047435163521
2000,Asia,Vietnam,10135294127.1591,0.0013993016001119301
2001,Asia,China,701319218712.883,0.09669504511123762
2001,Asia,Corea del Sur,206293839035.679,0.0284429565588332
2001,Asia,India,113930569495.956,0.015708284135117323
2001,Asia,Indonesia,94523560348.2167,0.013032524545270539
2001,Asia,Japón,741228652079.204,0.10219759567131319
2001,Asia,Otros,364326167771.44965,0.05023181211619848
2001,Asia,Tailandia,62170278809.1037,0.008571785505974573
2001,Asia,Vietnam,11285356423.1209,0.0015559791024018959
2002,Asia,China,771743882349.141,0.10422271511019376
2002,Asia,Corea del Sur,225360285175.374,0.03043452800362995
2002,Asia,India,118934437980.421,0.016061896090050976
2002,Asia,Indonesia,99522114980.0612,0.013440294473287847
2002,Asia,Japón,731186025083.524,0.09874544460639992
2002,Asia,Otros,380183129061.7236,0.05134309303403855
2002,Asia,Tailandia,67680005734.2072,0.009140071100818114
2002,Asia,Vietnam,12593950182.1921,0.0017007918196321563
2003,Asia,China,870151261805.58,0.11250523278622336
2003,Asia,Corea del Sur,236135999693.524,0.030530939597330966
2003,Asia,India,127089861307.03,0.01643194127127629
2003,Asia,Indonesia,104829875683.178,0.013553861362235131
2003,Asia,Japón,762996764839.089,0.09865081211884368
2003,Asia,Otros,402691790886.76807,0.05206558406961158
2003,Asia,Tailandia,74584226348.7462,0.009643284008040562
2003,Asia,Vietnam,14046575916.2868,0.0018161363002933834
2004,Asia,China,1049299938247.69,0.12646013696098599
2004,Asia,Corea del Sur,260075054185.541,0.031343875829596975
2004,Asia,India,139401452584.821,0.016800464904130733
2004,Asia,Indonesia,111521114049.781,0.013440366136234349
2004,Asia,Japón,804202433370.145,0.09692133408316309
2004,Asia,Otros,438315290886.87177,0.052825135785497364
2004,Asia,Tailandia,80157470244.0689,0.009660464368690653
2004,Asia,Vietnam,15572620268.1074,0.0018767900579838082
2005,Asia,China,1149110593198.33,0.13272357068371646
2005,Asia,Corea del Sur,273100778101.073,0.031543448159492955
2005,Asia,India,152434205984.331,0.017606322865988656
2005,Asia,Indonesia,116648998926.325,0.013473091054788267
2005,Asia,Japón,843693023450.804,0.09744749660836557
2005,Asia,Otros,475315625383.3757,0.05489949129009302
2005,Asia,Tailandia,83525021527.8374,0.009647234273381664
2005,Asia,Vietnam,17584644692.7572,0.0020310463123755936
2006,Asia,China,1300132195677.7,0.1406990344292235
2006,Asia,Corea del Sur,294171121044.337,0.031834910961747176
2006,Asia,India,179548947221.153,0.01943061143381017
2006,Asia,Indonesia,121997575780.064,0.0132024583131054
2006,Asia,Japón,876004407493.913,0.09480034007302726
2006,Asia,Otros,512596649736.005,0.05547270801329316
2006,Asia,Tailandia,88253621360.6346,0.009550720574111356
2006,Asia,Vietnam,22096204159.8786,0.0023912295997141845
2007,Asia,China,1516298880762.3,0.15483648872280037
2007,Asia,Corea del Sur,317403588559.966,0.03241158968338365
2007,Asia,India,192082475191.455,0.019614454894853715
2007,Asia,Indonesia,127689293062.859,0.013038960877825167
2007,Asia,Japón,921290409583.019,0.094077344462663
2007,Asia,Otros,542660898805.6555,0.05541368473211874
2007,Asia,Tailandia,94671015663.2739,0.00966730757049242
2007,Asia,Vietnam,27431710884.2885,0.002801182436306301
2008,Asia,China,1658872775445.31,0.16715487880308744
2008,Asia,Corea del Sur,327928717304.588,0.03304345324636831
2008,Asia,India,201040593162.435,0.020257681289360292
2008,Asia,Indonesia,132359182760.924,0.013337058441349624
2008,Asia,Japón,918997029150.311,0.092601939884619
2008,Asia,Otros,568776213334.6636,0.057312242634467846
2008,Asia,Tailandia,96915213381.1266,0.009765577557657407
2008,Asia,Vietnam,33284220986.4174,0.0033538557069551487
2009,Asia,China,1871822990974.28,0.20075355763074196
2009,Asia,Corea del Sur,322467315708.41,0.034584712956433845
2009,Asia,India,223089979868.343,0.02392646492018424
2009,Asia,Indonesia,135211804543.559,0.014501505177935367
2009,Asia,Japón,754326365832.865,0.0809017210953239
2009,Asia,Otros,557019540287.6603,0.05974050693991327
2009,Asia,Tailandia,93699337660.3101,0.010049281087823695
2009,Asia,Vietnam,37633005424.425,0.004036150725639922
2010,Asia,China,2076477480186.37,0.20400913671165144
2010,Asia,Corea del Sur,367699144197.828,0.036125595241552635
2010,Asia,India,240256938362.171,0.023604691624130567
2010,Asia,Indonesia,141269680665.935,0.013879421217513694
2010,Asia,Japón,877804578950.279,0.0862422810080792
2010,Asia,Otros,617317384793.6,0.06065001327995781
2010,Asia,Tailandia,104386520416.955,0.010255735551095312
2010,Asia,Vietnam,33184832424.4656,0.0032603334634904962
2011,Asia,China,2302018977244.49,0.21675513183271333
2011,Asia,Corea del Sur,386639376501.993,0.03640546400956398
2011,Asia,India,247765100971.886,0.023329241702859736
2011,Asia,Indonesia,150112450511.553,0.014134394339055705
2011,Asia,Japón,851654589455.852,0.0801906954887074
2011,Asia,Otros,677626024004.1956,0.06380439067540633
2011,Asia,Tailandia,99310181627.3817,0.009350918356346641
2011,Asia,Vietnam,37363245304.2114,0.00351807489063641
2012,Asia,China,2523464286605.88,0.23220192719168278
2012,Asia,Corea del Sur,393404227583.786,0.036199925750951434
2012,Asia,India,261275938332.675,0.02404186052153857
2012,Asia,Indonesia,158548433818.956,0.014589170958905051
2012,Asia,Japón,869501814775.667,0.0800090566604118
2012,Asia,Otros,689800591282.7297,0.06347346682256745
2012,Asia,Tailandia,106186222757.076,0.009770950869513653
2012,Asia,Vietnam,40494959243.6614,0.003726229702491291
2013,Asia,China,2735828384656.88,0.24362204637353999
2013,Asia,Corea del Sur,407181007144.653,0.036258952045875696
2013,Asia,India,274250502826.69,0.024421659301553773
2013,Asia,Indonesia,165475263349.766,0.014735362242586876
2013,Asia,Japón,864473065966.626,0.0769802296615952
