anio,region_name,lall_desc_full,exportaciones,prop_exportaciones
1993,Asia,Manufacturas de media tecnología,291641001972,0.2564414024157899
1993,Asia,Total manufacturas,862802128051,0.28322898952493675
1994,Asia,Manufacturas basadas en recursos naturales,137723906118,0.19530941036499846
1994,Asia,Manufacturas de alta tecnología,265557029069,0.3519293280217976
1994,Asia,Manufacturas de baja tecnología,266146475314,0.3611647570507085
1994,Asia,Manufacturas de media tecnología,326235454151,0.2503788880832664
1994,Asia,Total manufacturas,995662864652,0.28450671967442337
1995,Asia,Manufacturas basadas en recursos naturales,176368999154,0.1909607635761844
1995,Asia,Manufacturas de alta tecnología,338688346428,0.3599728471255434
1995,Asia,Manufacturas de baja tecnología,298620646863,0.3483236383921528
1995,Asia,Manufacturas de media tecnología,374441086080,0.2381912398976591
1995,Asia,Total manufacturas,1188119078525,0.2767066174072569
1996,Asia,Manufacturas basadas en recursos naturales,181698251095,0.19460061986305263
1996,Asia,Manufacturas de alta tecnología,344653444971,0.34413280440912536
1996,Asia,Manufacturas de baja tecnología,303536682049,0.34382327912066574
1996,Asia,Manufacturas de media tecnología,372751884157,0.22638167908092544
1996,Asia,Total manufacturas,1202640262272,0.2693723009158787
1997,Asia,Manufacturas basadas en recursos naturales,183650849701,0.19505284755653582
1997,Asia,Manufacturas de alta tecnología,360996353341,0.33445510607782125
1997,Asia,Manufacturas de baja tecnología,314020832101,0.34280671938091317
1997,Asia,Manufacturas de media tecnología,379687952389,0.22397332498138942
1997,Asia,Total manufacturas,1238355987532,0.26733837659762855
1998,Asia,Manufacturas basadas en recursos naturales,166771822707,0.1887107352516035
1998,Asia,Manufacturas de alta tecnología,349389018396,0.3118711577200962
1998,Asia,Manufacturas de baja tecnología,305833966977,0.33502563982622346
1998,Asia,Manufacturas de media tecnología,366097542771,0.2107783393638609
1998,Asia,Total manufacturas,1188092350851,0.25529544166264695
1999,Asia,Manufacturas basadas en recursos naturales,183145847751,0.20228963666298666
1999,Asia,Manufacturas de alta tecnología,405469376989,0.3279516486652198
