anio,subregion_es,valor
1980,Europa Occidental,0.2167702993041581
1980,Europa del Este,0.3089668804919948
1980,Europa del Norte,0.20376824383929915
1980,Europa del Sur,0.2158782124637397
1980,Melanesia,0.0921069711550648
1980,Micronesia,0.030713930086238402
1980,Polinesia,0.06609714061590682
1980,Sudeste Asiático,0.16705096680227396
1980,África Subsahariana,0.11644190282597863
1980,África del Norte,0.11732707614771055
1980,NA,0.17827769429718937
1981,América Latina y el Caribe,0.14673034791529255
1981,América del Norte,0.120470175941139
1981,Asia Occidental,0.10647595286968317
1981,Asia del Sur,0.1259649622450767
1981,Australia y Nueva Zelanda,0.22327844241071348
1981,Este de Asia,0.23271339224357285
1981,Europa Occidental,0.20841156276739992
1981,Europa del Este,0.2986981247255205
1981,Europa del Norte,0.19792693239517387
1981,Europa del Sur,0.21122769149801868
1981,Melanesia,0.08691974766651059
1981,Micronesia,0.030728041277704805
1981,Polinesia,0.07404544549515756
1981,Sudeste Asiático,0.16396815562624856
1981,África Subsahariana,0.11710099145817605
1981,África del Norte,0.12129234199894684
1981,NA,0.17450098679888762
1982,América Latina y el Caribe,0.14534794436621745
1982,América del Norte,0.11324719860388804
1982,Asia Occidental,0.10627309486603256
1982,Asia del Sur,0.12504229626686525
1982,Australia y Nueva Zelanda,0.22064029366815252
1982,Este de Asia,0.22923504326032185
1982,Europa Occidental,0.20354855238846026
1982,Europa del Este,0.304705105658004
1982,Europa del Norte,0.19382046503555844
1982,Europa del Sur,0.20588302140988088
1982,Melanesia,0.0791162144276418
1982,Micronesia,0.02929019084606304
1982,Polinesia,0.07118040964773162
1982,Sudeste Asiático,0.15629890760972645
1982,África Subsahariana,0.1159431858395685
1982,África del Norte,0.11949915734477902
1982,NA,0.1729761203651416
1983,América Latina y el Caribe,0.1491993075283441
1983,América del Norte,0.11419906375488585
1983,Asia Occidental,0.10972724789301788
1983,Asia del Sur,0.1250490606820219
1983,Australia y Nueva Zelanda,0.2159448507921915
1983,Este de Asia,0.2335570700656867
1983,Europa Occidental,0.20054501616435122
1983,Europa del Este,0.31189812078428225
1983,Europa del Norte,0.19226555377997315
1983,Europa del Sur,0.2030295561148382
1983,Melanesia,0.06810003629498652
1983,Micronesia,0.028880127110542227
1983,Polinesia,0.07506754973544776
1983,Sudeste Asiático,0.15654318286681373
1983,África Subsahariana,0.11574230745172373
1983,África del Norte,0.12389737030246271
1983,NA,0.17176696308001163
1984,América Latina y el Caribe,0.15227135940460385
1984,América del Norte,0.11751499914147917
1984,Asia Occidental,0.1126310911811333
1984,Asia del Sur,0.12658484016669672
1984,Australia y Nueva Zelanda,0.21503122575342448
1984,Este de Asia,0.23810380147493598
1984,Europa Occidental,0.20144881403636883
1984,Europa del Este,0.3144007874797635
1984,Europa del Norte,0.19733387594801471
1984,Europa del Sur,0.20587068728933103
1984,Melanesia,0.07730968984912755
1984,Micronesia,0.02678998238165776
1984,Polinesia,0.07234077055752008
1984,Sudeste Asiático,0.1602306826691329
1984,África Subsahariana,0.11443653780754329
1984,África del Norte,0.13051461707658496
1984,NA,0.1715656080608133
1985,América Latina y el Caribe,0.1561251123679221
1985,América del Norte,0.11577322904805269
1985,Asia Occidental,0.11146562056056554
1985,Asia del Sur,0.12475285693847499
1985,Australia y Nueva Zelanda,0.200852483542553
1985,Este de Asia,0.23394858581374514
1985,Europa Occidental,0.20073776329069265
1985,Europa del Este,0.3162789471795707
1985,Europa del Norte,0.196524162996538
1985,Europa del Sur,0.20478501221056375
1985,Melanesia,0.08207586602149317
1985,Micronesia,0.027922556414669557
1985,Polinesia,0.07099523843218014
1985,Sudeste Asiático,0.16035235661851943
1985,África Subsahariana,0.11588557717079455
1985,África del Norte,0.14191006151593671
1985,NA,0.1786827645788943
1986,América Latina y el Caribe,0.15816782668413348
1986,América del Norte,0.11585402324146198
1986,Asia Occidental,0.12856261933256796
1986,Asia del Sur,0.12180535692908132
1986,Australia y Nueva Zelanda,0.1914617717929665
1986,Este de Asia,0.23630975871444043
1986,Europa Occidental,0.2011204203993931
1986,Europa del Este,0.319595362280633
1986,Europa del Norte,0.19698646125415914
1986,Europa del Sur,0.20597157123949136
1986,Melanesia,0.07027840490706068
1986,Micronesia,0.027930769326567715
1986,Polinesia,0.06426315521932556
1986,Sudeste Asiático,0.16884337677519828
1986,África Subsahariana,0.12105800058293997
1986,África del Norte,0.15732890369475036
1986,NA,0.17669429274934803
1987,América Latina y el Caribe,0.15296034209240528
1987,América del Norte,0.11596252947664917
1987,Asia Occidental,0.1285610664091539
1987,Asia del Sur,0.12440544632580838
1987,Australia y Nueva Zelanda,0.182047933174124
1987,Este de Asia,0.23639225585583087
1987,Europa Occidental,0.19590065285685557
1987,Europa del Este,0.306939070842963
1987,Europa del Norte,0.1958231884977183
1987,Europa del Sur,0.20170911149041937
1987,Melanesia,0.07080976733224992
1987,Micronesia,0.027273816221238683
1987,Polinesia,0.06724331647844334
1987,Sudeste Asiático,0.16276309265775835
1987,África Subsahariana,0.12387918683830859
1987,África del Norte,0.15122525383476737
1987,NA,0.17701460335615052
1988,América Latina y el Caribe,0.15607022330131826
1988,América del Norte,0.11776952829145512
1988,Asia Occidental,0.1335512503510118
1988,Asia del Sur,0.119807398171708
1988,Australia y Nueva Zelanda,0.1751176472136945
1988,Este de Asia,0.23602108221935114
1988,Europa Occidental,0.1955798295777581
1988,Europa del Este,0.30954885535313426
1988,Europa del Norte,0.19299956508088686
1988,Europa del Sur,0.20220010838948074
1988,Melanesia,0.09964374850220356
1988,Micronesia,0.025538909786633212
1988,Polinesia,0.06813325293173104
1988,Sudeste Asiático,0.17456161272805526
1988,África Subsahariana,0.12713895989795426
1988,África del Norte,0.1577274135707169
1988,NA,0.1782214520192953
1989,América Latina y el Caribe,0.1503683514977817
1989,América del Norte,0.11514709866024525
1989,Asia Occidental,0.12925104466938656
1989,Asia del Sur,0.12187131772039288
1989,Australia y Nueva Zelanda,0.1745693726390865
1989,Este de Asia,0.23148516767480815
1989,Europa Occidental,0.19634594400622185
1989,Europa del Este,0.31164296681903475
1989,Europa del Norte,0.1897889266129993
1989,Europa del Sur,0.20082234947916264
1989,Melanesia,0.10494455709706928
1989,Micronesia,0.02641316028670233
1989,Polinesia,0.0680208939241462
1989,Sudeste Asiático,0.17283373300437055
1989,África Subsahariana,0.12596653642403258
1989,África del Norte,0.156255196235045
1989,NA,0.17999873683712922
1990,América Latina y el Caribe,0.1478104991067792
1990,América del Norte,0.11056933996211663
1990,Asia Central,0.22178789909144103
1990,Asia Occidental,0.14451967490361672
1990,Asia del Sur,0.13386612533917353
1990,Australia y Nueva Zelanda,0.163981941273024
1990,Este de Asia,0.23920077449373287
1990,Europa Occidental,0.19429611274704411
1990,Europa del Este,0.3006641193021374
1990,Europa del Norte,0.2094640180979959
1990,Europa del Sur,0.2068469967954207
1990,Melanesia,0.08286126180185334
1990,Micronesia,0.0282030163344599
1990,Polinesia,0.0673726601647279
1990,Sudeste Asiático,0.1549881230235067
1990,África Subsahariana,0.12403678335425594
1990,África del Norte,0.1538312556875358
1990,NA,0.16127544086208004
1991,América Latina y el Caribe,0.14538005324523554
1991,América del Norte,0.10623954713776648
1991,Asia Central,0.23763073153190828
1991,Asia Occidental,0.14247162711677167
1991,Asia del Sur,0.13478632554725437
1991,Australia y Nueva Zelanda,0.164575654455786
1991,Este de Asia,0.22625881951802357
1991,Europa Occidental,0.186160859376857
1991,Europa del Este,0.2884013453613723
1991,Europa del Norte,0.2279513378619386
1991,Europa del Sur,0.19861926209886258
1991,Melanesia,0.09343664792266866
1991,Micronesia,0.02635288689477376
1991,Polinesia,0.0639474091075842
1991,Sudeste Asiático,0.16116580494382854
1991,África Subsahariana,0.12455298105420703
1991,África del Norte,0.14803352938162567
1991,NA,0.09600570937669903
1992,América Latina y el Caribe,0.1441378128516275
1992,América del Norte,0.10463415614758002
1992,Asia Central,0.3655827973647687
1992,Asia Occidental,0.13071607075795627
1992,Asia del Sur,0.12954446017807103
1992,Australia y Nueva Zelanda,0.1658201325511245
1992,Este de Asia,0.21582034170572587
1992,Europa Occidental,0.17991851620320956
1992,Europa del Este,0.2678375935998244
1992,Europa del Norte,0.2019852220512404
1992,Europa del Sur,0.1903082786111957
1992,Melanesia,0.08386075710954206
1992,Micronesia,0.01939904400357471
1992,Polinesia,0.06290379557440928
1992,Sudeste Asiático,0.16102490900773275
1992,África Subsahariana,0.12365733555143739
1992,África del Norte,0.14900681003992686
1992,NA,0.1001084543963113
1993,América Latina y el Caribe,0.13919174496592146
1993,América del Norte,0.1058606585569958
1993,Asia Central,0.30915966896641456
1993,Asia Occidental,0.11874220095258203
1993,Asia del Sur,0.12513032928659917
1993,Australia y Nueva Zelanda,0.1677193595683665
1993,Este de Asia,0.20640911129304143
1993,Europa Occidental,0.1737105902591069
1993,Europa del Este,0.2353894736656708
1993,Europa del Norte,0.1922660415549419
1993,Europa del Sur,0.1831767928105124
1993,Melanesia,0.0821025713190035
1993,Micronesia,0.01945070476930643
1993,Polinesia,0.05909612411797562
1993,Sudeste Asiático,0.16053232420119531
1993,África Subsahariana,0.12035456539123032
1993,África del Norte,0.1465538365682458
1993,NA,0.10097624981090136
1994,América Latina y el Caribe,0.13841546227451662
1994,América del Norte,0.10959855775234777
1994,Asia Central,0.24484211026585484
1994,Asia Occidental,0.12369334867659446
1994,Asia del Sur,0.12672710974150714
1994,Australia y Nueva Zelanda,0.17101005641856099
1994,Este de Asia,0.2022511147806449
1994,Europa Occidental,0.17200710369678507
1994,Europa del Este,0.236041818016787
1994,Europa del Norte,0.1888443602477736
1994,Europa del Sur,0.180212817608307
1994,Melanesia,0.08398167235789572
1994,Micronesia,0.020260864814104995
1994,Polinesia,0.0691412093351201
1994,Sudeste Asiático,0.1603725102740152
1994,África Subsahariana,0.11964039682432483
1994,África del Norte,0.1469651344246262
1994,NA,0.09673799218139774
1995,América Latina y el Caribe,0.1406669682946281
1995,América del Norte,0.112655600098983
1995,Asia Central,0.2801836167474792
1995,Asia Occidental,0.12079883382207166
1995,Asia del Sur,0.1270221263219299
1995,Australia y Nueva Zelanda,0.164903370118293
