geocodigoFundar,geonombreFundar,anio,gdp_indust_pc,gdp_indust_pc_vs_usa
CHN,China,2015,2293.84174003983,0.3493403574461328
CHN,China,2016,2424.52915094006,0.37342967242456115
CHN,China,2017,2549.38162908969,0.402516227217366
CHN,China,2018,2691.92234497407,0.40865828027841633
CHN,China,2019,2801.79155116521,0.4265330645847599
CHN,China,2020,2861.97423934216,0.45768188008605293
CHN,China,2021,3162.6124310805,0.47116148098260585
CHN,China,2022,3246.61652376332,0.4811099171166052
CHN,China,2023,3390.08134851745,0.5037051937195443
IDN,Indonesia,1970,32.7486454188713,0.00872233593491265
IDN,Indonesia,1971,35.9048871348966,0.009557840866250297
IDN,Indonesia,1972,40.2432434749703,0.010101548791973114
IDN,Indonesia,1973,45.1789455448623,0.0104758945805158
IDN,Indonesia,1974,51.1465230456001,0.012458975787417921
IDN,Indonesia,1975,56.0169933921276,0.014644522099853258
IDN,Indonesia,1976,59.9228911681689,0.014683038946327711
IDN,Indonesia,1977,66.5190988911557,0.015781803491026924
IDN,Indonesia,1978,75.8409300689173,0.017434162386258396
IDN,Indonesia,1979,83.5511261011793,0.01923881636202163
IDN,Indonesia,1980,99.7105908235132,0.024884624179350646
IDN,Indonesia,1981,107.285483163,0.026173719935227917
IDN,Indonesia,1982,106.121598134127,0.02755827537098589
IDN,Indonesia,1983,128.753015744634,0.032759788116654455
IDN,Indonesia,1984,153.695678593988,0.03660512816344017
IDN,Indonesia,1985,167.291541812647,0.03919721112016315
IDN,Indonesia,1986,179.176057095871,0.04198882992768156
IDN,Indonesia,1987,194.374963296889,0.042746648114488785
IDN,Indonesia,1988,213.571569222803,0.04426550674835313
IDN,Indonesia,1989,233.255114586423,0.04916987880462131
IDN,Indonesia,1990,256.422235294488,0.05509473531652839
IDN,Indonesia,1991,278.544481274153,0.06262372542949009
IDN,Indonesia,1992,301.610580089804,0.06745305992963074
IDN,Indonesia,1993,330.244638655687,0.07219808981017514
IDN,Indonesia,1994,364.849104378351,0.07507576774769713
IDN,Indonesia,1995,397.836495787045,0.07763091749987194
IDN,Indonesia,1996,436.68943569576,0.08400958116663447
IDN,Indonesia,1997,452.184600164397,0.08356301081052303
IDN,Indonesia,1998,394.170329738481,0.0706449279375117
IDN,Indonesia,1999,405.324788935173,0.06945804305997155
IDN,Indonesia,2000,423.475342275378,0.06838963440961994
IDN,Indonesia,2001,431.421567643385,0.07328998142612862
IDN,Indonesia,2002,448.119183211455,0.07620423093932806
IDN,Indonesia,2003,465.811168980345,0.07575356569870643
IDN,Indonesia,2004,489.285103514951,0.07506385211725153
IDN,Indonesia,2005,505.254754866286,0.07598835969641904
IDN,Indonesia,2006,521.464904124994,0.0749127109939281
IDN,Indonesia,2007,538.631714673677,0.0756142572505085
IDN,Indonesia,2008,551.133987711926,0.07981748026399257
IDN,Indonesia,2009,555.923809627877,0.08976006391873398
IDN,Indonesia,2010,573.555128727324,0.08848280245722329
IDN,Indonesia,2011,601.725382836977,0.09325011182895494
IDN,Indonesia,2012,627.421287160089,0.09875264660418065
IDN,Indonesia,2013,646.76047602764,0.09960050278928324
IDN,Indonesia,2014,668.889566426175,0.1022194161703915
IDN,Indonesia,2015,690.059425529949,0.10509251888036512
IDN,Indonesia,2016,711.743080745643,0.1096237532925684
IDN,Indonesia,2017,734.749770327322,0.11600801626807954
IDN,Indonesia,2018,758.759220921475,0.11518654650126907
IDN,Indonesia,2019,780.241029260755,0.11878064133177672
IDN,Indonesia,2020,750.957035765634,0.12009172663694757
IDN,Indonesia,2021,770.958053432346,0.11485622919231649
IDN,Indonesia,2022,802.665279332734,0.11894543848514598
IDN,Indonesia,2023,832.85920391029,0.12374791738558148
IND,India,1970,37.0237170179071,0.00986096656087152
IND,India,1971,37.3955077948571,0.00995464242160181
IND,India,1972,38.0178360247131,0.009542944166707874
IND,India,1973,38.8256737599352,0.009002725947260027
IND,India,1974,39.0489150522139,0.009512073513320167
IND,India,1975,38.9414694403165,0.01018046802025651
IND,India,1976,41.3717695127944,0.010137416456259686
IND,India,1977,42.9220411161657,0.01018334928796171
IND,India,1978,46.4990032079725,0.010689098511717603
IND,India,1979,44.5596707805668,0.010260487958729803
